"Region of Incident","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Migration Route"
"US-Mexico Border",2018,"Jun",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"Sub-Saharan Africa",2018,"Jun",1,NA,NA,NA,1,NA,"Unknown",""
"North Africa",2018,"Jun",2,NA,NA,1,1,NA,"Sickness and lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter",""
"Sub-Saharan Africa",2018,"Jun",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Horn of Africa",2018,"Jun",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Mediterranean",2018,"Jun",NA,1,119,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Europe",2018,"Jun",5,NA,11,1,3,3,"Vehicle Accident",""
"US-Mexico Border",2018,"Jun",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"US-Mexico Border",2018,"Jun",1,NA,NA,NA,NA,NA,"Presumed drowning","Central America to US"
"Sub-Saharan Africa",2018,"Jun",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2018,"Jun",1,NA,NA,NA,1,NA,"Dehydration","Central America to US"
"US-Mexico Border",2018,"Jun",1,NA,NA,NA,1,NA,"Asphyxiation","Central America to US"
"US-Mexico Border",2018,"Jun",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Sub-Saharan Africa",2018,"Jun",3,NA,NA,NA,3,NA,"Vehicle Accident",""
"Horn of Africa",2018,"Jun",46,16,39,9,37,NA,"Drowning","Horn Africa to Yemen"
"Central America",2018,"Jun",1,NA,NA,NA,1,NA,"Fall from train",""
"Europe",2018,"Jun",1,NA,NA,NA,1,NA,"Asphyxiation",""
"Middle East",2018,"Jun",1,NA,NA,NA,1,1,"Shot",""
"US-Mexico Border",2018,"Jun",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Jun",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Sub-Saharan Africa",2018,"Jun",3,NA,NA,NA,1,NA,"Unknown",""
"Central America",2018,"Jun",1,NA,NA,NA,1,NA,"Hit by train",""
"US-Mexico Border",2018,"Jun",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"US-Mexico Border",2018,"Jun",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"US-Mexico Border",2018,"Jun",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"US-Mexico Border",2018,"Jun",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2018,"Jun",2,NA,NA,NA,2,NA,"Shot or stabbed",""
"Mediterranean",2018,"Jun",9,1,5,1,2,6,"Drowning","Eastern Mediterranean"
"Europe",2018,"Jun",1,NA,NA,NA,1,NA,"Drowning","Western Balkans"
"US-Mexico Border",2018,"Jun",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Mediterranean",2018,"Jun",1,NA,NA,NA,1,NA,"Drowning","Central Mediterranean"
"North Africa",2018,"Jun",2,NA,NA,1,1,NA,"Sickness and lack of access to medicines, Starvation, Dehydration",""
"Sub-Saharan Africa",2018,"Jun",2,NA,NA,2,NA,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Jun",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"Jun",84,28,68,6,6,NA,"Drowning","Central Mediterranean"
"Mediterranean",2018,"Jun",NA,1,41,NA,1,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2018,"Jun",2,NA,NA,1,1,NA,"Drowning","Western Mediterranean"
"Central America",2018,"Jun",1,NA,NA,NA,1,NA,"Hit by vehicle",""
"US-Mexico Border",2018,"Jun",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"North Africa",2018,"Jun",1,NA,NA,NA,1,NA,"Starvation",""
"North Africa",2018,"Jun",2,NA,NA,2,NA,1,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse",""
"Sub-Saharan Africa",2018,"Jun",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2018,"Jun",1,NA,NA,NA,NA,NA,"Presumed drowning","Central America to US"
"Europe",2018,"Jun",NA,2,NA,NA,NA,NA,"Presumed drowning","Western Balkans"
"Sub-Saharan Africa",2018,"Jun",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Heat stroke",""
"North Africa",2018,"May",1,NA,NA,NA,1,NA,"Starvation, Suffocation, Excessive Physical Abuse",""
"Horn of Africa",2018,"May",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"North Africa",2018,"May",1,NA,NA,1,NA,1,"Sickness and lack of access to medicines, Excessive Physical Abuse",""
"North Africa",2018,"May",2,NA,NA,1,1,2,"Sickness and lack of access to medicines",""
"North Africa",2018,"May",1,NA,NA,1,NA,1,"Sickness and lack of access to medicines, Vehicle Accident",""
"Mediterranean",2018,"May",1,1,3,NA,NA,NA,"Drowning","Western Mediterranean"
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Probable hyperthermia","Central America to US"
"Horn of Africa",2018,"May",5,NA,NA,NA,5,NA,"Shot or stabbed",""
"North Africa",2018,"May",2,NA,NA,1,1,NA,"Sickness and lack of access to medicines, Starvation, Dehydration",""
"Middle East",2018,"May",2,NA,NA,2,NA,1,"Drowning",""
"North Africa",2018,"May",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"North Africa",2018,"May",2,NA,NA,2,NA,NA,"Excessive Physical Abuse, Sexual abuse",""
"North Africa",2018,"May",2,NA,NA,2,NA,1,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse",""
"Sub-Saharan Africa",2018,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Middle East",2018,"May",1,NA,NA,NA,1,NA,"Shot",""
"Central America",2018,"May",1,NA,NA,NA,1,NA,"Fall from train",""
"Sub-Saharan Africa",2018,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines","Central Mediterranean"
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"North Africa",2018,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Central America",2018,"May",1,NA,NA,NA,1,NA,"Fall from train",""
"Sub-Saharan Africa",2018,"May",2,NA,80,NA,NA,NA,"Dehydration",""
"Middle East",2018,"May",1,NA,NA,NA,NA,NA,"Shot",""
"North Africa",2018,"May",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines",""
"Europe",2018,"May",1,NA,NA,NA,1,NA,"Hypothermia","Italy to France"
"Mediterranean",2018,"May",NA,5,400,NA,4,2,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Middle East",2018,"May",1,NA,NA,NA,1,NA,"Drowning",""
"North Africa",2018,"May",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Mediterranean",2018,"May",4,14,12,2,2,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"May",2,NA,NA,NA,2,NA,"Drowning","Central America to US"
"North Africa",2018,"May",2,NA,NA,2,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"May",1,NA,NA,1,NA,NA,"Harsh weather/lack of adequate shelter, Excessive Physical Abuse, Sexual abuse",""
"US-Mexico Border",2018,"May",1,NA,3,1,NA,NA,"Shot","Central America to US"
"North Africa",2018,"May",15,NA,25,NA,NA,NA,"Shot",""
"US-Mexico Border",2018,"May",1,NA,1,NA,1,NA,"Unknown","Central America to US"
"US-Mexico Border",2018,"May",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"North Africa",2018,"May",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines",""
"Middle East",2018,"May",1,NA,70,NA,NA,NA,"Vehicle Accident",""
"Central America",2018,"May",1,NA,106,NA,1,NA,"Shot",""
"North Africa",2018,"May",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines, Starvation, Dehydration, Suffocation",""
"Sub-Saharan Africa",2018,"May",1,NA,NA,NA,1,NA,"Dehydration",""
"Europe",2018,"May",1,NA,2,NA,1,NA,"Drowning","Western Balkans"
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"US-Mexico Border",2018,"May",1,NA,NA,NA,NA,NA,"Probable hyperthermia","Central America to US"
"Sub-Saharan Africa",2018,"May",1,NA,NA,NA,1,NA,"Dehydration",""
"Europe",2018,"May",1,NA,NA,NA,1,NA,"Drowning","Western Balkans"
"Sub-Saharan Africa",2018,"May",2,NA,NA,NA,1,NA,"Excessive Physical Abuse",""
"Sub-Saharan Africa",2018,"May",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Sub-Saharan Africa",2018,"May",7,NA,22,NA,NA,7,"Drowning",""
"North Africa",2018,"May",2,NA,NA,1,1,NA,"Vehicle Accident",""
"North Africa",2018,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"May",3,NA,NA,2,1,1,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter, Excessive Physical Abuse, Sexual abuse",""
"Europe",2018,"May",1,NA,NA,NA,1,NA,"Unknown",""
"South Asia",2018,"May",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"May",1,NA,NA,NA,1,NA,"Excessive Physical Abuse",""
"North Africa",2018,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Europe",2018,"May",1,NA,NA,1,NA,1,"Shot",""
"US-Mexico Border",2018,"May",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Europe",2018,"May",1,NA,NA,NA,NA,NA,"Unknown",""
"North Africa",2018,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines, Starvation, Suffocation",""
"North Africa",2018,"May",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"North Africa",2018,"May",2,NA,NA,1,1,NA,"Suffocation, Excessive Physical Abuse",""
"North Africa",2018,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines, Starvation, Excessive Physical Abuse",""
"Horn of Africa",2018,"May",2,NA,NA,2,NA,1,"Starvation",""
"Sub-Saharan Africa",2018,"May",1,NA,NA,NA,1,NA,"Unknown",""
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"May",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"North Africa",2018,"May",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter, Excessive Physical Abuse",""
"North Africa",2018,"May",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"US-Mexico Border",2018,"May",1,NA,NA,NA,NA,NA,"Unknown",""
"Central America",2018,"May",1,NA,NA,NA,1,NA,"Hit by train","Central America to US"
"Sub-Saharan Africa",2018,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"May",3,NA,NA,NA,3,NA,"Sickness and lack of access to medicines, Starvation",""
"Horn of Africa",2018,"May",2,NA,NA,1,1,NA,"Shot or stabbed",""
"Horn of Africa",2018,"May",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"Mediterranean",2018,"May",7,NA,12,NA,NA,3,"Drowning","Eastern Mediterranean"
"Europe",2018,"May",1,NA,NA,NA,1,NA,"Drowning",""
"Mediterranean",2018,"May",9,NA,NA,NA,2,NA,"Drowning","Eastern Mediterranean"
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Dehydration","Central America to US"
"Middle East",2018,"May",1,NA,NA,NA,1,NA,"Shot",""
"Sub-Saharan Africa",2018,"May",2,NA,NA,NA,2,NA,"Starvation, Harsh weather/lack of adequate shelter",""
"Mediterranean",2018,"May",1,NA,NA,NA,1,NA,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Horn of Africa",2018,"May",1,NA,NA,1,NA,NA,"Shot or stabbed",""
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Southeast Asia",2018,"May",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines, Dehydration, Excessive Physical Abuse",""
"Sub-Saharan Africa",2018,"May",3,NA,NA,1,1,NA,"Starvation, Dehydration",""
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"May",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"Mediterranean",2018,"May",1,NA,NA,1,NA,NA,"Unknown","Western Mediterranean"
"North Africa",2018,"May",2,NA,NA,NA,2,NA,"Shot or stabbed",""
"Horn of Africa",2018,"May",2,NA,NA,NA,2,NA,"Harsh weather/lack of adequate shelter",""
"Europe",2018,"May",1,NA,NA,1,NA,NA,"Drowning",""
"US-Mexico Border",2018,"May",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2018,"May",2,NA,NA,2,NA,NA,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse",""
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Middle East",2018,"May",2,NA,NA,NA,1,NA,"Shot",""
"North Africa",2018,"May",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"May",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines, Dehydration",""
"North Africa",2018,"May",2,NA,NA,1,1,NA,"Sickness and lack of access to medicines, Starvation, Dehydration",""
"Central America",2018,"May",1,NA,NA,NA,1,NA,"Hit by train, Train Accident","Central America to US"
"US-Mexico Border",2018,"May",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Sub-Saharan Africa",2018,"May",1,NA,NA,NA,1,NA,"Dehydration",""
"US-Mexico Border",2018,"May",1,NA,NA,NA,NA,NA,"Unknown",""
"Mediterranean",2018,"May",1,3,114,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2018,"May",1,NA,NA,1,NA,NA,"Hyperthermia","Central America to US"
"North Africa",2018,"May",2,NA,NA,NA,2,NA,"Shot or stabbed",""
"Sub-Saharan Africa",2018,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"May",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"May",1,12,1,1,NA,NA,"Drowning",""
"Sub-Saharan Africa",2018,"May",2,NA,NA,1,1,NA,"Vehicle Accident",""
"Europe",2018,"May",1,NA,NA,NA,1,1,"Violence",""
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Sub-Saharan Africa",2018,"May",3,NA,74,NA,NA,3,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Central America",2018,"May",1,NA,NA,NA,1,NA,"Violence",""
"US-Mexico Border",2018,"May",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Horn of Africa",2018,"May",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"North Africa",2018,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"May",2,NA,NA,NA,2,NA,"Suffocation",""
"Sub-Saharan Africa",2018,"May",1,NA,NA,1,NA,NA,"Suffocation",""
"Sub-Saharan Africa",2018,"May",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"May",2,NA,NA,NA,2,NA,"Shot or stabbed",""
"Europe",2018,"Apr",1,NA,7,NA,1,NA,"Drowning","Western Balkans"
"Mediterranean",2018,"Apr",2,NA,NA,NA,2,NA,"Drowning","Central Mediterranean"
"Mediterranean",2018,"Apr",1,NA,NA,1,NA,NA,"Drowning","Central Mediterranean"
"Mediterranean",2018,"Apr",6,NA,NA,NA,5,1,"Drowning","Central Mediterranean"
"Europe",2018,"Apr",1,NA,NA,NA,1,NA,"Drowning","Western Balkans"
"Middle East",2018,"Apr",1,NA,NA,NA,1,1,"Presumed drowning",""
"North Africa",2018,"Apr",1,NA,NA,1,NA,NA,"Vehicle Accident",""
"Mediterranean",2018,"Apr",17,2,19,NA,NA,NA,"Drowning","Western Mediterranean"
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Europe",2018,"Apr",1,NA,NA,NA,1,NA,"Drowning","Western Balkans"
"North Africa",2018,"Apr",1,NA,NA,NA,NA,NA,"Vehicle Accident",""
"North Africa",2018,"Apr",1,NA,NA,NA,1,1,"Vehicle Accident",""
"North Africa",2018,"Apr",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines",""
"North Africa",2018,"Apr",3,NA,NA,1,1,NA,"Harsh weather/lack of adequate shelter, Excessive Physical Abuse, Sexual abuse",""
"Sub-Saharan Africa",2018,"Apr",2,NA,NA,NA,2,NA,"Starvation, Dehydration",""
"North Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Central America",2018,"Apr",1,NA,NA,NA,1,NA,"Fall from train","Central America to US"
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"North Africa",2018,"Apr",2,NA,NA,NA,2,NA,"Vehicle Accident",""
"North Africa",2018,"Apr",2,NA,NA,2,NA,NA,"Vehicle Accident",""
"Mediterranean",2018,"Apr",5,12,17,NA,NA,NA,"Drowning","Western Mediterranean"
"Sub-Saharan Africa",2018,"Apr",47,NA,NA,NA,NA,NA,"Drowning",""
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Probable hyperthermia","Central America to US"
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"North Africa",2018,"Apr",2,NA,NA,1,1,1,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter",""
"Sub-Saharan Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2018,"Apr",1,NA,NA,1,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Unknown (mummified remains)","Central America to US"
"Sub-Saharan Africa",2018,"Apr",4,NA,NA,1,2,1,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter",""
"Sub-Saharan Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Harsh weather/lack of adequate shelter",""
"US-Mexico Border",2018,"Apr",1,NA,14,NA,NA,NA,"Vehicle Accident","Central America to US"
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Middle East",2018,"Apr",1,NA,NA,NA,1,1,"Shot",""
"North Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Dehydration",""
"North Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Apr",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"Apr",11,NA,NA,NA,11,1,"Drowning","Central Mediterranean"
"Caribbean",2018,"Apr",1,NA,NA,NA,1,NA,"Shot",""
"Europe",2018,"Apr",1,NA,NA,NA,1,NA,"Drowning","Western Balkans"
"North Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"Sub-Saharan Africa",2018,"Apr",2,NA,NA,NA,2,NA,"Shot or stabbed",""
"North Africa",2018,"Apr",2,NA,NA,1,1,1,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter, Excessive Physical Abuse, Sexual abuse",""
"Middle East",2018,"Apr",2,NA,NA,NA,2,NA,"Shot",""
"Sub-Saharan Africa",2018,"Apr",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Apr",3,NA,NA,NA,3,NA,"Sickness and lack of access to medicines, Starvation, Dehydration",""
"Europe",2018,"Apr",1,NA,NA,NA,1,NA,"Electrocution on railway",""
"Middle East",2018,"Apr",2,NA,NA,NA,2,NA,"Shot",""
"North Africa",2018,"Apr",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines, Starvation, Dehydration",""
"North Africa",2018,"Apr",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter",""
"South America",2018,"Apr",5,1,NA,NA,3,1,"Drowning",""
"Middle East",2018,"Apr",2,NA,131,NA,NA,NA,"Vehicle Accident",""
"North Africa",2018,"Apr",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Apr",2,NA,NA,1,1,NA,"Sickness and lack of access to medicines, Starvation",""
"Sub-Saharan Africa",2018,"Apr",2,NA,NA,NA,2,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Middle East",2018,"Apr",1,NA,NA,NA,1,1,"Violence",""
"Southeast Asia",2018,"Apr",NA,1,107,NA,NA,NA,"Drowning",""
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"Central America",2018,"Apr",1,NA,NA,NA,1,NA,"Hit by train",""
"Central America",2018,"Apr",1,NA,NA,NA,1,NA,"Hit by train",""
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Unknown",""
"North Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines, Vehicle Accident",""
"North Africa",2018,"Apr",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines, Dehydration",""
"North Africa",2018,"Apr",2,NA,NA,2,NA,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Mediterranean",2018,"Apr",1,NA,NA,NA,1,NA,"Cardiac arrest","Western Mediterranean"
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Middle East",2018,"Apr",2,NA,NA,NA,2,NA,"Shot",""
"North Africa",2018,"Apr",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines, Starvation, Dehydration",""
"North Africa",2018,"Apr",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines",""
"North Africa",2018,"Apr",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter, Suffocation",""
"North Africa",2018,"Apr",2,NA,NA,1,1,1,"Sickness and lack of access to medicines, Vehicle Accident, Excessive Physical Abuse",""
"Mediterranean",2018,"Apr",1,NA,NA,NA,1,NA,"Cardiac arrest","Western Mediterranean"
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Sub-Saharan Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Dehydration",""
"US-Mexico Border",2018,"Apr",2,NA,NA,NA,2,NA,"Drowning","Central America to US"
"Central America",2018,"Apr",1,NA,NA,1,NA,NA,"Hit by train",""
"South Asia",2018,"Apr",2,NA,NA,NA,2,NA,"Shot",""
"Sub-Saharan Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Central America",2018,"Apr",1,NA,NA,NA,1,NA,"Fall from train",""
"Sub-Saharan Africa",2018,"Apr",3,NA,NA,1,1,NA,"Dehydration, Harsh weather/lack of adequate shelter",""
"Sub-Saharan Africa",2018,"Apr",4,NA,NA,1,2,1,"Vehicle Accident",""
"Europe",2018,"Apr",1,NA,3,NA,1,NA,"Drowning","Western Balkans"
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Sub-Saharan Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"Apr",6,30,10,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Southeast Asia",2018,"Apr",7,NA,46,6,NA,NA,"Vehicle Accident",""
"Europe",2018,"Apr",1,NA,1,NA,1,NA,"Drowning","Western Balkans"
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"Sub-Saharan Africa",2018,"Apr",2,NA,NA,NA,2,NA,"Dehydration",""
"Sub-Saharan Africa",2018,"Apr",2,NA,NA,1,1,NA,"Sickness and lack of access to medicines, Starvation",""
"Sub-Saharan Africa",2018,"Apr",4,NA,NA,1,1,NA,"Dehydration, Harsh weather/lack of adequate shelter",""
"North Africa",2018,"Apr",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines, Starvation, Dehydration",""
"Sub-Saharan Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines, Starvation, Dehydration",""
"North Africa",2018,"Apr",3,NA,NA,1,1,NA,"Unknown",""
"Sub-Saharan Africa",2018,"Apr",3,NA,NA,1,1,NA,"Shot or stabbed",""
"Sub-Saharan Africa",2018,"Apr",6,NA,NA,1,1,NA,"Starvation, Dehydration, Harsh weather/lack of adequate shelter",""
"Sub-Saharan Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"Mediterranean",2018,"Apr",1,NA,NA,1,NA,NA,"Drowning","Western Mediterranean"
"North Africa",2018,"Apr",1,NA,NA,NA,1,1,"Hit by truck",""
"Southeast Asia",2018,"Apr",2,8,5,NA,NA,NA,"Starvation, Presumed drowning",""
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2018,"Apr",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter",""
"Sub-Saharan Africa",2018,"Apr",1,NA,NA,NA,1,1,"Shot or stabbed",""
"North Africa",2018,"Apr",1,5,NA,NA,NA,NA,"Drowning","Western African"
"Middle East",2018,"Apr",1,NA,NA,1,NA,1,"Shot",""
"North Africa",2018,"Apr",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration",""
